Value	Std.Error	t-value	p-value	term	phylum	n	lambda	AIC
1.50217237336963	0.438764356793772	3.42364266857638	0.000893906989967534	trna_gc	Thermoproteota	107	0.877595519990266	479.806449210302
-219.072842145985	129.531327309519	-1.69127304333494	0.106309457745906	(Intercept)	Thermoproteota	26	0.845967422337694	139.297664767478
1.7007163426673e-07	1.57613165104249e-06	0.107904459728501	0.915146650328034	genome_size	Thermoproteota	26	0.845967422337694	139.297664767478
-0.370582754982669	0.178248505282666	-2.07902307172226	0.0506965487438203	gc_content	Thermoproteota	26	0.845967422337694	139.297664767478
272.059032594296	221.383648961447	1.22890301009391	0.233372022277731	frac_ilvwygerkp	Thermoproteota	26	0.845967422337694	139.297664767478
9.14085428243036	19.6997492259928	0.46400866211888	0.647652276289449	ratio_charged_polar	Thermoproteota	26	0.845967422337694	139.297664767478
1.80463322260588	0.79265737470098	2.27668760829564	0.0339456468709841	trna_gc	Thermoproteota	26	0.845967422337694	139.297664767478
-148.369590231318	67.291427882254	-2.20488099154225	0.0302983187487954	(Intercept)	Thermoproteota	87	0.987094513413416	406.897377279706
-7.68891156745824e-07	1.3002325060091e-06	-0.591348972735529	0.555933359236249	genome_size	Thermoproteota	87	0.987094513413416	406.897377279706
-0.265311931990084	0.141929411243344	-1.86932313511254	0.0651918018210693	gc_content	Thermoproteota	87	0.987094513413416	406.897377279706
258.461914742741	140.352972846958	1.84151364591736	0.069206849508105	frac_ilvwygerkp	Thermoproteota	87	0.987094513413416	406.897377279706
20.2356239586207	11.2680553609207	1.79583994846182	0.0762489662424512	ratio_charged_polar	Thermoproteota	87	0.987094513413416	406.897377279706
0.534379739619438	0.723607670823016	0.738493746219752	0.462348901992706	trna_gc	Thermoproteota	87	0.987094513413416	406.897377279706
-219.590475316375	34.3719959984371	-6.38864485281448	6.98614513477884e-10	(Intercept)	Thermoproteota	285	0.927124641364828	1543.75796744901
-2.49313038973124e-07	8.11376113362926e-07	-0.307271849475321	0.758865689330902	genome_size	Thermoproteota	285	0.927124641364828	1543.75796744901
-0.224089292873829	0.0741866417984429	-3.02061513287871	0.00275643021402172	gc_content	Thermoproteota	285	0.927124641364828	1543.75796744901
385.835813004503	64.920300893443	5.94322280849861	8.31732377184412e-09	frac_ilvwygerkp	Thermoproteota	285	0.927124641364828	1543.75796744901
15.6916228773872	5.03390645894293	3.11718602746589	0.00201654100761311	ratio_charged_polar	Thermoproteota	285	0.927124641364828	1543.75796744901
0.49488824641016	0.353221715309105	1.4010697104992	0.162304531451772	trna_gc	Thermoproteota	285	0.927124641364828	1543.75796744901
-346.071515563943	64.0102382798697	-5.40650253559169	1.89331907754327e-06	(Intercept)	Thermoproteota	55	0.941372836065297	303.397631815614
-1.24845036316306e-06	1.2127938269976e-06	-1.02940032788073	0.308346253190028	genome_size	Thermoproteota	55	0.941372836065297	303.397631815614
-0.07521032483847	0.158372668572995	-0.474894598393442	0.636972017408119	gc_content	Thermoproteota	55	0.941372836065297	303.397631815614
611.908585872328	113.423180853373	5.39491646476897	1.97146619947982e-06	frac_ilvwygerkp	Thermoproteota	55	0.941372836065297	303.397631815614
3.3629263420553	7.85925634149011	0.427893708505465	0.670603350324307	ratio_charged_polar	Thermoproteota	55	0.941372836065297	303.397631815614
0.588687759984793	0.459968478846414	1.27984370029269	0.206626613250972	trna_gc	Thermoproteota	55	0.941372836065297	303.397631815614
-252.41690900638	51.9153473714765	-4.86208648861056	3.22416112376792e-06	(Intercept)	Thermoproteota	139	0.98811088514542	784.965480767648
-7.79349891361281e-07	1.10822141265848e-06	-0.703243848620213	0.483133020964365	genome_size	Thermoproteota	139	0.98811088514542	784.965480767648
-0.207725848871667	0.103334168624385	-2.01023390072204	0.0464289000129232	gc_content	Thermoproteota	139	0.98811088514542	784.965480767648
447.96206772204	88.2594483383772	5.07551402320805	1.27500135814428e-06	frac_ilvwygerkp	Thermoproteota	139	0.98811088514542	784.965480767648
7.45955089031284	7.62159369787223	0.97873898636126	0.329485910000687	ratio_charged_polar	Thermoproteota	139	0.98811088514542	784.965480767648
0.617539657466724	0.400365044082614	1.54244149581475	0.125342344163819	trna_gc	Thermoproteota	139	0.98811088514542	784.965480767648
