accession	phylum	class	species
GB_GCA_021814005	Micrarchaeota	Micrarchaeia	CAIXYX01 sp021814005
GB_GCA_902384555	Micrarchaeota	Micrarchaeia	CAIXYX01 sp902384555
GB_GCA_903857535	Halobacteriota	Methanomicrobia	CAIYHQ01 sp903926075
GB_GCA_023252215	Altiarchaeota	Altiarchaeia	CAIYYO01 sp023252215
GB_GCA_026394495	Thermoplasmatota	E2	CAIYYQ01 sp026394495
GB_GCA_038885615	Nanobdellota	Nanobdellia	CAKZRD01 sp038885615
GB_GCA_038894315	Nanobdellota	Nanobdellia	CAKZRD01 sp038886595
GB_GCA_036733025	Nanobdellota	Nanobdellia	CAKZRD01 sp937143345
GB_GCA_038885635	Thermoproteota	Nitrososphaeria_A	Caldarchaeum sp038740895
GB_GCA_038831915	Thermoproteota	Nitrososphaeria_A	Caldarchaeum sp038831915
GB_GCA_038832005	Thermoproteota	Nitrososphaeria_A	Caldarchaeum sp038832005
GB_GCA_038844785	Thermoproteota	Nitrososphaeria_A	Caldarchaeum sp038844785
GB_GCA_038828325	Thermoproteota	Nitrososphaeria_A	Caldarchaeum sp038885755
GB_GCA_038852245	Thermoproteota	Nitrososphaeria_A	Caldarchaeum sp038890155
GB_GCA_038891535	Thermoproteota	Nitrososphaeria_A	Caldarchaeum sp038896555
GB_GCA_041641305	Thermoproteota	Nitrososphaeria_A	Caldarchaeum sp041641305
GB_GCA_000270325	Thermoproteota	Nitrososphaeria_A	Caldarchaeum subterraneum_A
GB_GCA_038736395	Thermoproteota	Nitrososphaeria_A	Caldarchaeum subterraneum_E
GB_GCA_027018965	Thermoproteota	Thermoprotei_A	Caldisphaera acidicharens
RS_GCF_000317795	Thermoproteota	Thermoprotei_A	Caldisphaera lagunensis
GB_GCA_002506595	Thermoproteota	Thermoprotei_A	Caldisphaera sp002506595
GB_GCA_015522625	Thermoproteota	Thermoprotei_A	Caldisphaera sp015522625
RS_GCF_023256325	Thermoproteota	Thermoprotei_A	Caldisphaera sp023256325
GB_GCA_038841625	Thermoproteota	Nitrososphaeria_A	Calditenuis fumarioli
GB_GCA_033581555	Thermoproteota	Nitrososphaeria_A	Calditenuis sp025058175
RS_GCF_000018305	Thermoproteota	Thermoprotei	Caldivirga maquilingensis
RS_GCF_001663375	Thermoproteota	Thermoprotei	Caldivirga sp001663375
RS_GCF_002506515	Thermoproteota	Thermoprotei	Caldivirga sp002506515
RS_GCF_023256255	Thermoproteota	Thermoprotei	Caldivirga sp023256255
GB_GCA_038866215	Thermoproteota	Methanomethylicia	CALHIW01 sp038845975
GB_GCA_038819295	Thermoproteota	Thermoprotei	CALHPJ01 sp038861545
GB_GCA_938036345	Thermoproteota	Thermoprotei	CALHPJ01 sp938036345
GB_GCA_038845265	Thermoproteota	Nitrososphaeria_A	CALIKS01 sp038845265
GB_GCA_028275385	Thermoproteota	Bathyarchaeia	CALIRQ01 sp028275385
GB_GCA_038840595	Thermoproteota	Bathyarchaeia	CALIRQ01 sp038843675
GB_GCA_038851865	Thermoproteota	Bathyarchaeia	CALIRQ01 sp038847005
